Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6GtX0jaNL8IjVQfrDBx81z,"Bullet With Butterfly Wings - Remastered 2012","Mellon Collie And The Infinite Sadness (Deluxe Edition)","The Smashing Pumpkins",1995,258466,77,false,1234954247,2025-09-03T23:51:52Z,"alternative rock,rock","Virgin Records",0.404,0.72,10,-9.18,0,0.0623,0.0000559,0.836,0.0466,0.475,121.864,4
spotify:track:7J4uwuiyWB7BqIcyNdcVRl,"Vampires Will Never Hurt You","I Brought You My Bullets, You Brought Me Your Love","My Chemical Romance",2002,326506,62,false,1234954247,2025-09-03T23:49:58Z,"emo,pop punk","Reprise",0.327,0.963,4,-8.871,0,0.174,0.0118,0,0.176,0.199,98.416,4
spotify:track:0N88wTQ9EpVu3l4QtxOqD5,"Bella's Lullaby (From ""Twilight"") [Arr. for Piano by M. Rzeminski]","Inception","Maksym Rzemiński",2015,128813,58,false,1234954247,2025-09-04T00:33:37Z,"","DUX",0.274,0.0571,7,-30.322,1,0.0541,0.988,0.763,0.0844,0.0516,174.483,3
spotify:track:4EaBMhUIOfnFEbIgqCfKbi,"The Phantom Of the Opera - From 'The Phantom Of The Opera' Motion Picture","The Phantom Of The Opera (Original Motion Picture Soundtrack)","Andrew Lloyd Webber;Gerard Butler;Emmy Rossum",2004-12-10,216133,44,false,1234954247,2025-09-03T23:47:28Z,"musicals","UMC (Universal Music Catalogue)",0.444,0.608,2,-12.175,0,0.0532,0.168,0.00000336,0.118,0.354,119.985,4
spotify:track:1kuGVB7EU95pJObxwvfwKS,"vampire","GUTS","Olivia Rodrigo",2023-09-08,219724,85,true,1234954247,2025-09-03T23:48:22Z,"","Olivia Rodrigo PS",0.484,0.53,5,-5.821,1,0.0538,0.154,0,0.263,0.323,136.848,4
spotify:track:6Nm8h73ycDG2saCnZV8poF,"Dragula","Hellbilly Deluxe","Rob Zombie",1998-01-01,222826,79,false,1234954247,2025-09-03T23:49:33Z,"industrial metal,industrial rock,alternative metal,metal,nu metal","Geffen",0.59,0.963,0,-6.489,0,0.0676,0.0000875,0.000105,0.0781,0.586,125.033,4
spotify:track:3XHrTm6WE2BOHafLwTT3GR,"Eyes on Fire","Life Of A Ghost","Blue Foundation",2007-09-24,302826,68,false,1234954247,2025-09-14T02:06:18Z,"","Parlophone Denmark",0.544,0.383,3,-10.143,0,0.0334,0.67,0.00204,0.125,0.367,145.025,4
spotify:track:4rLyT7uQtWQRtGShwTaUju,"Vampire Bat","Vampire Bat","Glass Animals",2025-08-08,206652,60,true,1234954247,2025-09-03T23:48:32Z,"","Polydor Records",0.725,0.755,5,-4.786,0,0.0327,0.218,0.00132,0.239,0.716,90.009,4
spotify:track:2EFHXO4zJRitZLpE1ztsWO,"Dracula's Wedding (feat. Kelis)","Speakerboxxx/The Love Below","Outkast;Kelis",2003,152413,41,false,1234954247,2025-09-03T23:49:45Z,"southern hip hop,hip hop","Arista",0.771,0.649,10,-6.91,0,0.0497,0.296,0.000238,0.147,0.661,101.934,4
spotify:track:0K9n8TBThz4xNAkF1eIlB6,"Sweet Transvestite","The Rocky Horror Picture Show - Original Soundtrack","Tim Curry",1975-01-10,204370,56,false,1234954247,2025-09-03T23:52:34Z,"musicals","Ode Sounds & Visuals",0.543,0.422,4,-12.243,1,0.383,0.592,0,0.246,0.527,107.146,4
spotify:track:11BKm0j4eYoCPPpCONAVwA,"Bloody Mary","Born This Way (Special Edition)","Lady Gaga",2011-01-01,244760,69,false,1234954247,2025-09-04T00:45:01Z,"art pop,pop","Interscope",0.591,0.634,9,-6.365,0,0.0291,0.0107,0.00000195,0.113,0.44,99.998,4
spotify:track:7wuJGgpTNzbUyn26IOY6rj,"Total Eclipse of the Heart","The Very Best of Bonnie Tyler","Bonnie Tyler",2009-03-26,267360,81,false,1234954247,2025-09-03T23:52:27Z,"","Sony Music UK",0.431,0.723,8,-5.887,1,0.0568,0.145,0,0.374,0.19,130.141,4
spotify:track:1ZLtE9tSJdaUiIJ9YoKHQe,"Decode","Decode","Paramore",2008-11-04,261959,79,false,1234954247,2025-09-03T23:52:04Z,"pop punk,emo","Atlantic Records",0.28,0.87,10,-4.219,0,0.0592,0.000686,0.00608,0.101,0.284,164.057,4
spotify:track:3lPr8ghNDBLc2uZovNyLs9,"Supermassive Black Hole","Black Holes and Revelations","Muse",2006-06-28,212439,82,false,1234954247,2025-09-13T21:06:28Z,"alternative rock,rock","Warner Records",0.668,0.921,7,-3.727,1,0.0439,0.0492,0.00517,0.0877,0.782,120,4
spotify:track:709ZIqPHyFOpx2QdjmeWAM,"Dracula","Dracula","Tame Impala",2025-09-26,205308,83,true,1234954247,2025-10-04T22:59:40Z,"neo-psychedelic,indie","Columbia",0.415,0.731,3,-3.507,0,0.0586,0.0267,0.0000458,0.317,0.612,114.837,4
spotify:track:6Slvi85s1hIaeykjvDe1xk,"Perhaps Vampires Is A Bit Strong But…","Whatever People Say I Am, That's What I'm Not","Arctic Monkeys",2006-01-29,268626,58,false,1234954247,2025-09-03T23:52:18Z,"indie,garage rock","Domino Recording Co",0.371,0.914,11,-4.917,0,0.081,0.000293,0.0000875,0.0852,0.394,134.982,4
spotify:track:72T5smavl9ONfOwI0gHf1A,"You're Dead","Walkin' My Cat Named Dog","Norma Tanega",1966-04-12,143066,56,false,1234954247,2025-09-15T13:17:26Z,"southern gothic","Rhino",0.627,0.539,0,-8.529,0,0.0328,0.346,0,0.192,0.754,112.259,5
spotify:track:1Qxdyb5Rb7f9RGHQRSU4Nd,"Vampira","Collection","Misfits",1986-01-01,81466,35,false,1234954247,2025-09-03T23:49:23Z,"horror punk,punk,psychobilly,hardcore punk","Astralwerks",0.597,0.938,0,-11.973,1,0.0611,0.721,0.327,0.592,0.242,111.397,4
spotify:track:4KJKj7GZLzxq1bXRu0XP6l,"Dracula From Houston","Weird Revolution","Butthole Surfers",2001-08-28,222706,51,false,1234954247,2025-09-03T23:50:12Z,"noise rock","Hollywood Records",0.58,0.925,4,-3.904,1,0.0482,0.00151,0.0013,0.124,0.526,100.155,4
spotify:track:7FOgcfdz9Nx5V9lCNXdBYv,"Red Wine Supernova","The Rise and Fall of a Midwest Princess","Chappell Roan",2023-09-22,192720,79,true,1234954247,2025-09-19T22:09:48Z,"","Chappell Roan PS/ Island",0.657,0.82,9,-4.448,1,0.0441,0.0176,0,0.0847,0.709,124.041,4
spotify:track:1XYHqSfJK9ud9nuRjQcbXi,"Tear You Apart","She Wants Revenge","She Wants Revenge",2005-01-01,284613,70,true,1234954247,2025-09-15T03:13:20Z,"darkwave,gothic rock","Flawless Records",0.582,0.721,1,-6.615,0,0.037,0.000586,0.0000313,0.607,0.598,152.99,4
spotify:track:7CpbhqKUedOIrcvc94p60Y,"Bodies","Sinner","Drowning Pool",2001-01-01,201960,78,false,1234954247,2025-09-22T01:59:19Z,"nu metal,alternative metal,rap metal,metal","The Bicycle Music Company",0.656,0.932,4,-3.405,0,0.0708,0.00347,0.00147,0.144,0.544,130.936,4
spotify:track:2d04VBDeAnwh7b8W8d4K3f,"Hazel","Houseghost","Houseghost",2020-10-23,172066,5,false,1234954247,2025-09-27T19:22:44Z,"horror punk","Rad Girlfriend Records",0.516,0.991,0,-5.602,1,0.0489,0.0263,0.923,0.159,0.303,107.498,4
spotify:track:7wZUrN8oemZfsEd1CGkbXE,"Bleeding Love","Spirit","Leona Lewis",2007,262466,79,false,1234954247,2025-09-22T00:31:30Z,"","Syco Music UK",0.638,0.656,5,-5.886,1,0.0357,0.188,0,0.146,0.225,104.036,4
spotify:track:2acy7zzNEjWMpY6mg91h5N,"Dracula","Gorillaz","Gorillaz",2001,281466,42,false,1234954247,2025-09-03T23:49:41Z,"","Parlophone UK",0.764,0.5,9,-12.734,1,0.0356,0.00377,0.832,0.15,0.282,121.607,4
spotify:track:32ld9N8e1101MHfc1vNPIV,"Transylvanian Concubine","Transylvanian Regurgitations","Rasputina",1997-07-29,167600,32,false,1234954247,2025-09-15T12:49:54Z,"","Columbia",0.259,0.583,5,-6.97,1,0.0396,0.504,0.00119,0.289,0.464,155.111,3
spotify:track:10V8XpuyMoEcSMfM79WDET,"Living Dead Girl","Hellbilly Deluxe","Rob Zombie",1998-01-01,201400,73,false,1234954247,2025-09-15T13:23:58Z,"industrial metal,industrial rock,alternative metal,metal,nu metal","Geffen",0.518,0.948,6,-5.579,0,0.0676,0.00512,0.0996,0.228,0.548,103.025,4
spotify:track:4c38yr2PflGI2DSIzqsnmF,"Baby You're a Haunted House","Baby You're a Haunted House","Gerard Way",2018-10-26,166361,54,false,1234954247,2025-09-15T13:27:20Z,"","Reprise",0.476,0.983,1,-3.282,1,0.0687,0.00182,0.0000186,0.294,0.723,120.022,4
spotify:track:0xxZY5C9xxij3D1HkzbnfC,"Monster Mash","The Original Monster Mash","Bobby ""Boris"" Pickett;The Crypt-Kickers",1962,192040,61,false,1234954247,2025-09-20T22:20:03Z,"","Decca Music Group Ltd.",0.541,0.504,11,-14.191,0,0.457,0.375,0,0.421,0.707,68.482,4
spotify:track:6BUueFzyvsdortWfi6yYcs,"Dracula","Good Thing We Stayed","Julia Wolf",2023-01-13,153964,36,false,1234954247,2025-09-15T03:13:05Z,"","BMG Rights Management (US) LLC",0.662,0.44,2,-5.112,1,0.112,0.859,0.00000855,0.103,0.572,179.967,3
spotify:track:0uwNtbl80CvP4EFio32PYv,"Full Moon","The Black Ghosts","The Black Ghosts",2009-01-25,231333,62,false,1234954247,2025-10-07T03:45:22Z,"","Southern Fried Records",0.564,0.598,7,-8.064,1,0.0262,0.0105,0.0901,0.165,0.555,105.009,4
spotify:track:2y7tCWRXAUn9RxfCmrhhwi,"Thanks For Sticking It In Me","Blonde","Shayna Ferm;The Upper Deckers",2008-02-01,161360,4,false,1234954247,2025-10-19T13:57:21Z,"","Shayna Ferm And The Upper Deckers",0.663,0.57,7,-6.685,1,0.0333,0.0976,0.0000401,0.162,0.585,92.859,4
